timestamp,tweet,username
Wed Oct 31 06:55:32 +0000 2018,"RT @alrasyidkhan11: Jika melihat kondisi Indonesia saat ini,menurut antum calon presiden yg pantas memimpin Indonesia adalah yg berlatang b…",Abu_Ilyan
Wed Oct 31 06:55:27 +0000 2018,"#BabeKasihTau Kadernya Mundur, Presiden PKS: Silakan Kalau Sudah Tidak Bahagia  #message https://t.co/rrKire4Bc5",BaBeBacaBerita_
Wed Oct 31 06:55:27 +0000 2018,"RT @CakKhum: PLN Catat Rugi Rp 18 Triliun

Kalau enggak rugi ya tekor, kemarin BPJS sekarang PLN

Jangan sampai Pak Jokowi tau ya, masak ur…",dini_ira
Wed Oct 31 06:55:25 +0000 2018,@ustadtengkuzul @JayaSatrianie @bawaslu_RI Saya juga tdk suka2 amat sama presiden jokowi tapi saya msh menghargai s… https://t.co/I4loCNPj6j,Mcqamal4
Wed Oct 31 06:55:21 +0000 2018,"RT @24hIslam: Santri Klaten Doakan Prabowo Jadi Presiden Amanah

https://t.co/bljRLAvLX6",idinzainuddin
Wed Oct 31 06:55:20 +0000 2018,"Saya beritahu ya, saya itu tidak ada urusan #Siapa yang Menjadi Presiden, saya cukup Hormat kepada yang bersangkuta… https://t.co/zFSrRv7euS",asboediono
Wed Oct 31 06:55:17 +0000 2018,"@VIVAcoid Presiden banyak pitih nyo, ndak ado nan mahal dek nyo. Apo loh tu....??",BangEdibs
Wed Oct 31 06:55:16 +0000 2018,#Indonesia4BesarDunia meruapakn sejarah ya d. Teteh oleh pemerintah presiden @jokowi,KamaluddinAl
Wed Oct 31 06:55:16 +0000 2018,@kompascom Kan ada peraturan nya contoh Wiranto masuk jajaran kabinet presiden dan harus memberikan jabatannya seba… https://t.co/PB0ebsQVik,AlwidinF
Wed Oct 31 06:55:13 +0000 2018,@ayubikelubi @nazreen_azman @hakiimmislam @taufikwanahmad @duanismail93 Hahahaha..untung la kome menang..dgr cter p… https://t.co/Wxpp5jsSq3,hakim_zulk
Wed Oct 31 06:55:13 +0000 2018,RT @AmrullahH4: @Ajeng__Cute16 @PEPESOfficial Mari kita terus bahu membahu untuk memenangkan 2019 PrabowoSandi menjadi Presiden/Wakil demi…,AhmadUb32438975
Wed Oct 31 06:55:11 +0000 2018,@enylove2 @4Y4NKZ @Ernijasin @ASapardan @erikhaa21 @JajangRidwan19 @P3nj3l4j4h @putra_bisma12 @eLfathir_ @ASae_01… https://t.co/ErWHFayVDk,Blacksh55288774
Wed Oct 31 06:55:10 +0000 2018,@azenabror @Soelih @Rozivenom Saya kasih kalimat kritikan dan solusi dampaknya terlihat sprti menggurui presiden :… https://t.co/l0hqBoBNEY,Haris99802475
Wed Oct 31 06:55:07 +0000 2018,"Ketimpangan hukum yang dialami Novel, sebenarnya juga menimpa Presiden RI ke-6, Susilo Bambang Yudhoyono (SBY). Kas… https://t.co/fh8Bim1b0U",didienAZHAR
Wed Oct 31 06:55:06 +0000 2018,Presiden yang visioner. Semangat anak muda berkembang maju diapresiasi dengan kebijakan pro industri kreatif. #Indonesia4BesarDunia,Prasjo6
Wed Oct 31 06:54:56 +0000 2018,RT @iloveyouIPOH: Tahukah kome.  Kebodohan PRESIDEN PAFA. Cuti ahad isnin haritu buat apa? Harini dia pergi parit buntar bawak piala tu sor…,matzakimatzin
Wed Oct 31 06:54:54 +0000 2018,"RT @radarbogorID: Tengah Malam Jalan-jalan ke Pasar Bogor, Presiden Jokowi Cek Harga Buah dan Sayur https://t.co/6RBSeKkLfk https://t.co/U1…",KangmasIdo
Wed Oct 31 06:54:51 +0000 2018,"RT @ekowBoy: Ya Allah.. Bangsaku..
Permasalahan seperti ini jangan sampai ke meja presiden, kebangetan!! 

Beliau sedang sibuk menyusun jan…",AhmadUb32438975
Wed Oct 31 06:54:51 +0000 2018,"RT @RizmaWidiono: Baru kali ini ada presiden pergi ke pasar, apalagi malem2 cuma cek harga sembako, mantap.

#JokowiBlusukan 
#01JokowiLagi…",budedaun
